product_key,category,product_name,total_reviews,cleanse_ratio,orig_rating,cleaned_rating,axis_1,axis_2,axis_3,axis_4,summary_1
SYN-DIAPER-000012,diaper,가상브랜드_모아 SYN-DIAPER-000012,69,0.094,4.12,3.74,흡수력 긍정 83%,누기 부정 48%,피부트러블 긍정 89%,사이즈핏 부정 57%,밤새 착용해도 새지 않는다는 후기가 많습니다.
SYN-WIPES-000013,wipes,가상브랜드_도담 SYN-WIPES-000013,123,0.059,4.16,3.96,두께감 긍정 72%,촉감 긍정 82%,성분자극 긍정 63%,포장밀폐력 부정 40%,일부 아이는 트러블이 생겼다는 후기가 있습니다.
SYN-BATH-000014,bath,가상브랜드_새봄 SYN-BATH-000014,40,0.116,4.66,4.48,미끄럼방지 긍정 69%,온도유지 부정 62%,수납편의성 긍정 90%,건조편의성 부정 45%,물 온도가 금방 식는다는 지적이 있습니다.
SYN-SKINCARE-000015,skincare,가상브랜드_도담 SYN-SKINCARE-000015,302,0.145,4.61,4.49,자극성 긍정 89%,보습력 긍정 65%,향 부정 44%,펌프사용성 부정 40%,건조한 계절에도 트러블 없이 촉촉하다는 평이 많습니다.
SYN-MAT-000016,mat,가상브랜드_모아 SYN-MAT-000016,88,0.095,4.55,4.2,층간소음저감 긍정 91%,청소편의성 긍정 75%,이음새마감 부정 44%,냄새 부정 58%,층간소음이 확실히 줄었다는 평이 많습니다.
SYN-GATE-000017,gate,가상브랜드_도담 SYN-GATE-000017,199,0.167,4.17,3.8,설치편의성 부정 62%,고정력 긍정 66%,내구성 긍정 85%,개폐편의성 부정 55%,벽 마감재에 따라 압착 고정이 헐거워진다는 지적이 있습니다.
SYN-THERMOMETER-000018,thermometer,가상브랜드_새봄 SYN-THERMOMETER-000018,214,0.116,4.47,4.36,측정정확도 긍정 74%,반응속도 긍정 87%,사용편의성 부정 45%,배터리수명 부정 49%,1~2초 내로 빠르게 측정된다는 평이 많습니다.
SYN-STROLLER-000019,stroller,가상브랜드_새봄 SYN-STROLLER-000019,204,0.074,4.59,4.46,주행감 긍정 92%,폴딩편의성 긍정 86%,내구성 긍정 74%,통풍성 부정 38%,1년 이상 사용해도 프레임 흔들림이 없다는 후기가 많습니다.
SYN-CAR-SEAT-000020,car_seat,가상브랜드_새봄 SYN-CAR_SEAT-000020,282,0.189,4.46,4.26,설치편의성 부정 39%,안전벨트 긍정 59%,통풍성 부정 47%,인증관련 긍정 76%,5점식 벨트 조절이 쉽고 아이가 답답해하지 않는다는 평이 많습니다.
SYN-CARRIER-000021,carrier,가상브랜드_새봄 SYN-CARRIER-000021,263,0.079,4.65,4.32,착용감 부정 62%,허리부담 부정 43%,통풍성 긍정 82%,탈부착편의성 부정 62%,체중이 늘수록 허리 벨트만으로는 부담이 크다는 지적이 있습니다.
SYN-CRIB-000022,crib,가상브랜드_새봄 SYN-CRIB-000022,179,0.097,4.52,4.37,조립편의성 부정 59%,내구성 긍정 89%,매트리스핏 부정 56%,마감 부정 43%,동봉 매트리스 사이즈가 프레임에 딱 맞는다는 후기가 많습니다.
SYN-SLEEPWEAR-000023,sleepwear,가상브랜드_도담 SYN-SLEEPWEAR-000023,149,0.104,4.11,3.67,보온성 긍정 83%,세탁내구성 부정 62%,사이즈핏 긍정 74%,촉감 긍정 67%,표기 개월수보다 넉넉하게 나와 오래 입힐 수 있다는 후기가 많습니다.
SYN-BOTTLE-000024,bottle,가상브랜드_새봄 SYN-BOTTLE-000024,29,0.135,4.46,4.14,젖꼭지호환 긍정 64%,세척편의성 긍정 82%,누수 부정 48%,온도감지 긍정 71%,온도감지 라벨이 정확하다는 평이 많습니다.
SYN-FORMULA-000025,formula,가상브랜드_모아 SYN-FORMULA-000025,188,0.121,4.2,3.75,용해성 긍정 86%,맛수용성 부정 58%,포장편의성 긍정 67%,가격대비량 긍정 68%,용량 대비 가격이 비싸다는 의견이 있습니다.
SYN-HIGH-CHAIR-000026,high_chair,가상브랜드_모아 SYN-HIGH_CHAIR-000026,106,0.152,4.61,4.32,조립편의성 긍정 75%,청소편의성 긍정 83%,높이조절 부정 49%,안전벨트 긍정 91%,단계별 높이 조절 시 소음이 크다는 지적이 있습니다.
SYN-BABY-FOOD-000027,baby_food,가상브랜드_모아 SYN-BABY_FOOD-000027,264,0.122,4.64,4.49,맛수용성 부정 58%,포장편의성 부정 61%,원재료 부정 50%,농도 부정 48%,파우치 개봉 시 손에 묻는다는 지적이 있습니다.
SYN-CUP-000028,cup,가상브랜드_도담 SYN-CUP-000028,179,0.094,4.38,4.24,누수 부정 54%,세척편의성 긍정 88%,손잡이 긍정 86%,빨대내구성 부정 59%,부품이 단순해 세척과 건조가 편하다는 평이 많습니다.
SYN-BIB-000029,bib,가상브랜드_모아 SYN-BIB-000029,216,0.163,4.64,4.21,방수성 긍정 58%,세탁내구성 부정 41%,목둘레조절 긍정 62%,촉감 긍정 85%,단추 단수가 여러 개라 오래 쓸 수 있다는 평이 많습니다.
SYN-DIAPER-000030,diaper,가상브랜드_도담 SYN-DIAPER-000030,165,0.17,4.37,4.15,흡수력 긍정 89%,누기 부정 47%,피부트러블 긍정 77%,사이즈핏 부정 38%,장시간 착용해도 발진이 덜하다는 평이 많습니다.
SYN-WIPES-000031,wipes,가상브랜드_새봄 SYN-WIPES-000031,199,0.082,4.35,3.97,두께감 긍정 88%,촉감 긍정 80%,성분자극 부정 39%,포장밀폐력 부정 57%,일부 아이는 트러블이 생겼다는 후기가 있습니다.
SYN-BATH-000032,bath,가상브랜드_새봄 SYN-BATH-000032,309,0.2,4.1,3.93,미끄럼방지 긍정 64%,온도유지 부정 58%,수납편의성 긍정 70%,건조편의성 부정 62%,접어서 세워 보관할 수 있어 공간을 덜 차지한다는 후기가 많습니다.
SYN-SKINCARE-000033,skincare,가상브랜드_새봄 SYN-SKINCARE-000033,320,0.154,4.62,4.52,자극성 긍정 60%,보습력 긍정 89%,향 부정 46%,펌프사용성 부정 55%,펌프 용기 배출량이 일정하지 않다는 지적이 있습니다.
SYN-MAT-000034,mat,가상브랜드_도담 SYN-MAT-000034,157,0.104,4.69,4.4,층간소음저감 긍정 85%,청소편의성 긍정 77%,이음새마감 부정 46%,냄새 부정 56%,이염 없이 물걸레질만으로 관리된다는 후기가 많습니다.
SYN-GATE-000035,gate,가상브랜드_새봄 SYN-GATE-000035,205,0.112,4.19,4.05,설치편의성 부정 53%,고정력 긍정 70%,내구성 긍정 62%,개폐편의성 부정 49%,아이가 밀어도 흔들리지 않는다는 평이 많습니다.
SYN-THERMOMETER-000036,thermometer,가상브랜드_새봄 SYN-THERMOMETER-000036,121,0.053,4.45,4.18,측정정확도 긍정 92%,반응속도 긍정 64%,사용편의성 부정 56%,배터리수명 긍정 73%,배터리가 생각보다 빨리 닳는다는 의견이 있습니다.
SYN-STROLLER-000037,stroller,가상브랜드_도담 SYN-STROLLER-000037,167,0.094,4.15,3.8,주행감 긍정 74%,폴딩편의성 긍정 74%,내구성 긍정 77%,통풍성 부정 49%,요철이 있는 길에서 진동이 그대로 전달된다는 지적이 있습니다.
SYN-CAR-SEAT-000038,car_seat,가상브랜드_모아 SYN-CAR_SEAT-000038,294,0.069,4.29,4.01,설치편의성 긍정 74%,안전벨트 부정 42%,통풍성 부정 55%,인증관련 긍정 84%,KC 인증 정보가 명확히 표기돼 있어 안심된다는 후기가 많습니다.
SYN-CARRIER-000039,carrier,가상브랜드_새봄 SYN-CARRIER-000039,28,0.165,4.3,4.17,착용감 긍정 72%,허리부담 부정 42%,통풍성 긍정 67%,탈부착편의성 부정 52%,어깨끈 패딩이 두꺼워 장시간 착용해도 편하다는 평이 많습니다.
SYN-CRIB-000040,crib,가상브랜드_새봄 SYN-CRIB-000040,314,0.17,4.61,4.21,조립편의성 긍정 71%,내구성 긍정 76%,매트리스핏 긍정 80%,마감 부정 46%,동봉 매트리스 사이즈가 프레임에 딱 맞는다는 후기가 많습니다.
SYN-SLEEPWEAR-000041,sleepwear,가상브랜드_모아 SYN-SLEEPWEAR-000041,220,0.073,4.43,4.11,보온성 긍정 64%,세탁내구성 긍정 90%,사이즈핏 긍정 58%,촉감 긍정 79%,속감이 부드러워 아이가 거부감 없이 입는다는 평이 많습니다.
SYN-BOTTLE-000042,bottle,가상브랜드_도담 SYN-BOTTLE-000042,175,0.13,4.38,4.2,젖꼭지호환 부정 43%,세척편의성 긍정 73%,누수 부정 52%,온도감지 긍정 88%,분해가 쉬워 구석구석 세척하기 편하다는 후기가 많습니다.
SYN-FORMULA-000043,formula,가상브랜드_모아 SYN-FORMULA-000043,51,0.096,4.63,4.41,용해성 긍정 58%,맛수용성 부정 53%,포장편의성 긍정 80%,가격대비량 부정 40%,용량 대비 가격이 비싸다는 의견이 있습니다.
SYN-HIGH-CHAIR-000044,high_chair,가상브랜드_도담 SYN-HIGH_CHAIR-000044,300,0.107,4.54,4.19,조립편의성 긍정 78%,청소편의성 부정 58%,높이조절 긍정 70%,안전벨트 긍정 87%,식판이 분리돼 물로 바로 씻을 수 있다는 평이 많습니다.
SYN-BABY-FOOD-000045,baby_food,가상브랜드_새봄 SYN-BABY_FOOD-000045,165,0.054,4.37,3.99,맛수용성 긍정 78%,포장편의성 부정 58%,원재료 긍정 88%,농도 부정 59%,간이 삼삼해 아이가 거부감 없이 먹는다는 평이 많습니다.
SYN-CUP-000046,cup,가상브랜드_모아 SYN-CUP-000046,291,0.14,4.68,4.45,누수 부정 47%,세척편의성 긍정 83%,손잡이 긍정 71%,빨대내구성 부정 50%,부품이 단순해 세척과 건조가 편하다는 평이 많습니다.
SYN-BIB-000047,bib,가상브랜드_모아 SYN-BIB-000047,285,0.175,4.52,4.18,방수성 긍정 83%,세탁내구성 부정 59%,목둘레조절 긍정 81%,촉감 긍정 65%,목 안쪽 마감이 부드러워 자국이 안 남는다는 후기가 많습니다.
SYN-DIAPER-000048,diaper,가상브랜드_모아 SYN-DIAPER-000048,222,0.177,4.4,4.09,흡수력 긍정 80%,누기 긍정 84%,피부트러블 긍정 82%,사이즈핏 부정 43%,밤새 착용해도 새지 않는다는 후기가 많습니다.
SYN-WIPES-000049,wipes,가상브랜드_모아 SYN-WIPES-000049,318,0.157,4.4,4.19,두께감 긍정 78%,촉감 부정 42%,성분자극 부정 50%,포장밀폐력 부정 46%,한 장으로도 잘 닦여 도톰하다는 평이 많습니다.
SYN-BATH-000050,bath,가상브랜드_새봄 SYN-BATH-000050,81,0.096,4.28,3.99,미끄럼방지 긍정 73%,온도유지 부정 39%,수납편의성 긍정 86%,건조편의성 부정 41%,물 온도가 금방 식는다는 지적이 있습니다.
SYN-SKINCARE-000051,skincare,가상브랜드_도담 SYN-SKINCARE-000051,265,0.124,4.17,3.88,자극성 긍정 64%,보습력 긍정 60%,향 부정 59%,펌프사용성 부정 46%,펌프 용기 배출량이 일정하지 않다는 지적이 있습니다.
SYN-MAT-000052,mat,가상브랜드_모아 SYN-MAT-000052,221,0.058,4.33,3.97,층간소음저감 긍정 61%,청소편의성 긍정 71%,이음새마감 부정 39%,냄새 부정 51%,층간소음이 확실히 줄었다는 평이 많습니다.
SYN-GATE-000053,gate,가상브랜드_도담 SYN-GATE-000053,62,0.18,4.54,4.25,설치편의성 부정 51%,고정력 긍정 91%,내구성 긍정 80%,개폐편의성 부정 53%,1년 넘게 써도 잠금장치가 헐거워지지 않는다는 후기가 많습니다.
SYN-THERMOMETER-000054,thermometer,가상브랜드_도담 SYN-THERMOMETER-000054,81,0.084,4.15,3.87,측정정확도 긍정 78%,반응속도 긍정 65%,사용편의성 부정 61%,배터리수명 긍정 87%,화면 글씨가 작아 밤에 보기 불편하다는 지적이 있습니다.
SYN-STROLLER-000055,stroller,가상브랜드_도담 SYN-STROLLER-000055,195,0.073,4.3,4.14,주행감 긍정 70%,폴딩편의성 부정 52%,내구성 부정 42%,통풍성 부정 51%,요철이 있는 길에서 진동이 그대로 전달된다는 지적이 있습니다.
SYN-CAR-SEAT-000056,car_seat,가상브랜드_도담 SYN-CAR_SEAT-000056,60,0.187,4.35,4.03,설치편의성 긍정 85%,안전벨트 긍정 61%,통풍성 부정 57%,인증관련 긍정 67%,여름에 등받이 쪽이 덥다는 지적이 반복됩니다.
SYN-CARRIER-000057,carrier,가상브랜드_도담 SYN-CARRIER-000057,147,0.14,4.6,4.44,착용감 긍정 80%,허리부담 부정 51%,통풍성 긍정 65%,탈부착편의성 부정 39%,체중이 늘수록 허리 벨트만으로는 부담이 크다는 지적이 있습니다.
SYN-CRIB-000058,crib,가상브랜드_새봄 SYN-CRIB-000058,151,0.086,4.54,4.17,조립편의성 부정 44%,내구성 긍정 86%,매트리스핏 긍정 66%,마감 부정 43%,동봉 매트리스 사이즈가 프레임에 딱 맞는다는 후기가 많습니다.
SYN-SLEEPWEAR-000059,sleepwear,가상브랜드_도담 SYN-SLEEPWEAR-000059,38,0.161,4.47,4.03,보온성 긍정 84%,세탁내구성 부정 51%,사이즈핏 긍정 83%,촉감 긍정 81%,속감이 부드러워 아이가 거부감 없이 입는다는 평이 많습니다.
SYN-BOTTLE-000060,bottle,가상브랜드_새봄 SYN-BOTTLE-000060,275,0.136,4.18,3.93,젖꼭지호환 긍정 58%,세척편의성 긍정 72%,누수 부정 42%,온도감지 긍정 84%,외출 시 가방에서 새는 경우가 있었다는 지적이 있습니다.
SYN-FORMULA-000061,formula,가상브랜드_새봄 SYN-FORMULA-000061,146,0.2,4.1,3.72,용해성 부정 54%,맛수용성 긍정 74%,포장편의성 긍정 84%,가격대비량 긍정 66%,1회분 소포장이라 외출할 때 편하다는 평이 많습니다.
SYN-HIGH-CHAIR-000062,high_chair,가상브랜드_모아 SYN-HIGH_CHAIR-000062,57,0.095,4.54,4.09,조립편의성 긍정 79%,청소편의성 긍정 90%,높이조절 긍정 85%,안전벨트 긍정 88%,단계별 높이 조절 시 소음이 크다는 지적이 있습니다.
SYN-BABY-FOOD-000063,baby_food,가상브랜드_도담 SYN-BABY_FOOD-000063,274,0.085,4.1,3.72,맛수용성 긍정 62%,포장편의성 부정 51%,원재료 긍정 83%,농도 부정 56%,간이 삼삼해 아이가 거부감 없이 먹는다는 평이 많습니다.
SYN-CUP-000064,cup,가상브랜드_도담 SYN-CUP-000064,238,0.152,4.31,4.15,누수 부정 57%,세척편의성 긍정 79%,손잡이 긍정 81%,빨대내구성 부정 43%,빨대 부분을 씹어서 자주 교체해야 한다는 지적이 있습니다.
SYN-BIB-000065,bib,가상브랜드_새봄 SYN-BIB-000065,258,0.123,4.48,4.06,방수성 긍정 77%,세탁내구성 부정 52%,목둘레조절 긍정 76%,촉감 긍정 68%,목 안쪽 마감이 부드러워 자국이 안 남는다는 후기가 많습니다.
SYN-DIAPER-000066,diaper,가상브랜드_새봄 SYN-DIAPER-000066,311,0.088,4.31,3.96,흡수력 긍정 83%,누기 부정 51%,피부트러블 긍정 58%,사이즈핏 부정 46%,같은 사이즈라도 라인마다 핏이 다르다는 의견이 있습니다.
SYN-WIPES-000067,wipes,가상브랜드_새봄 SYN-WIPES-000067,112,0.073,4.36,4.06,두께감 긍정 83%,촉감 긍정 87%,성분자극 부정 40%,포장밀폐력 긍정 82%,한 장으로도 잘 닦여 도톰하다는 평이 많습니다.
SYN-BATH-000068,bath,가상브랜드_새봄 SYN-BATH-000068,155,0.061,4.55,4.38,미끄럼방지 긍정 65%,온도유지 부정 42%,수납편의성 긍정 81%,건조편의성 부정 58%,주름 사이에 물기가 남아 곰팡이가 생겼다는 의견이 일부 있습니다.
SYN-SKINCARE-000069,skincare,가상브랜드_도담 SYN-SKINCARE-000069,182,0.143,4.7,4.39,자극성 긍정 80%,보습력 긍정 71%,향 긍정 76%,펌프사용성 부정 54%,무향·저자극이라 민감한 피부에도 순하다는 후기가 많습니다.
SYN-MAT-000070,mat,가상브랜드_새봄 SYN-MAT-000070,309,0.072,4.28,4.16,층간소음저감 긍정 60%,청소편의성 긍정 78%,이음새마감 부정 41%,냄새 부정 49%,이염 없이 물걸레질만으로 관리된다는 후기가 많습니다.
SYN-GATE-000071,gate,가상브랜드_새봄 SYN-GATE-000071,316,0.182,4.39,3.97,설치편의성 긍정 61%,고정력 부정 62%,내구성 긍정 76%,개폐편의성 부정 55%,아이가 밀어도 흔들리지 않는다는 평이 많습니다.
SYN-THERMOMETER-000072,thermometer,가상브랜드_새봄 SYN-THERMOMETER-000072,56,0.176,4.28,4.06,측정정확도 긍정 83%,반응속도 긍정 88%,사용편의성 부정 41%,배터리수명 부정 39%,체온계 두 개로 교차 측정해도 편차가 작다는 후기가 많습니다.
SYN-STROLLER-000073,stroller,가상브랜드_도담 SYN-STROLLER-000073,21,0.118,4.52,4.17,주행감 긍정 80%,폴딩편의성 긍정 66%,내구성 긍정 67%,통풍성 부정 50%,폴딩 락 위치가 낮아 허리를 숙여야 한다는 불편이 있습니다.
SYN-CAR-SEAT-000074,car_seat,가상브랜드_모아 SYN-CAR_SEAT-000074,162,0.073,4.13,4.02,설치편의성 긍정 71%,안전벨트 긍정 80%,통풍성 부정 57%,인증관련 긍정 81%,isofix 고정이 직관적이라 설치가 어렵지 않다는 평이 많습니다.
SYN-CARRIER-000075,carrier,가상브랜드_모아 SYN-CARRIER-000075,102,0.181,4.52,4.08,착용감 부정 59%,허리부담 긍정 78%,통풍성 긍정 87%,탈부착편의성 부정 45%,메쉬 소재라 여름에도 덜 덥다는 후기가 많습니다.
SYN-CRIB-000076,crib,가상브랜드_새봄 SYN-CRIB-000076,47,0.059,4.2,3.92,조립편의성 부정 48%,내구성 긍정 90%,매트리스핏 긍정 88%,마감 부정 50%,모서리 마감재가 시간이 지나면 들뜬다는 지적이 일부 있습니다.
SYN-SLEEPWEAR-000077,sleepwear,가상브랜드_도담 SYN-SLEEPWEAR-000077,118,0.108,4.63,4.46,보온성 부정 60%,세탁내구성 긍정 61%,사이즈핏 긍정 69%,촉감 긍정 59%,속감이 부드러워 아이가 거부감 없이 입는다는 평이 많습니다.
SYN-BOTTLE-000078,bottle,가상브랜드_도담 SYN-BOTTLE-000078,217,0.077,4.34,4.02,젖꼭지호환 부정 45%,세척편의성 긍정 64%,누수 긍정 61%,온도감지 긍정 84%,외출 시 가방에서 새는 경우가 있었다는 지적이 있습니다.
SYN-FORMULA-000079,formula,가상브랜드_도담 SYN-FORMULA-000079,185,0.128,4.37,4.19,용해성 긍정 92%,맛수용성 긍정 79%,포장편의성 긍정 90%,가격대비량 부정 50%,미온수에도 잘 녹아 덩어리가 안 남는다는 후기가 많습니다.
SYN-HIGH-CHAIR-000080,high_chair,가상브랜드_도담 SYN-HIGH_CHAIR-000080,161,0.125,4.62,4.23,조립편의성 긍정 87%,청소편의성 긍정 82%,높이조절 부정 45%,안전벨트 긍정 59%,5점식 벨트로 혼자 앉아도 안심된다는 후기가 많습니다.
SYN-BABY-FOOD-000081,baby_food,가상브랜드_새봄 SYN-BABY_FOOD-000081,278,0.103,4.69,4.5,맛수용성 긍정 59%,포장편의성 부정 39%,원재료 긍정 73%,농도 부정 42%,파우치 개봉 시 손에 묻는다는 지적이 있습니다.
SYN-CUP-000082,cup,가상브랜드_모아 SYN-CUP-000082,193,0.181,4.25,3.95,누수 부정 61%,세척편의성 긍정 84%,손잡이 긍정 63%,빨대내구성 부정 57%,양손잡이라 아이가 스스로 들기 편하다는 후기가 많습니다.
SYN-BIB-000083,bib,가상브랜드_도담 SYN-BIB-000083,45,0.153,4.14,3.89,방수성 부정 52%,세탁내구성 긍정 87%,목둘레조절 긍정 90%,촉감 긍정 81%,세탁 후 방수 코팅이 벗겨진다는 지적이 있습니다.
SYN-DIAPER-000084,diaper,가상브랜드_모아 SYN-DIAPER-000084,284,0.163,4.45,4.19,흡수력 긍정 92%,누기 부정 61%,피부트러블 긍정 67%,사이즈핏 부정 51%,같은 사이즈라도 라인마다 핏이 다르다는 의견이 있습니다.
SYN-WIPES-000085,wipes,가상브랜드_도담 SYN-WIPES-000085,274,0.125,4.63,4.48,두께감 긍정 61%,촉감 긍정 78%,성분자극 부정 54%,포장밀폐력 부정 51%,부드러워 신생아에게도 자극이 적다는 후기가 많습니다.
SYN-BATH-000086,bath,가상브랜드_새봄 SYN-BATH-000086,110,0.065,4.67,4.34,미끄럼방지 긍정 87%,온도유지 부정 55%,수납편의성 긍정 70%,건조편의성 부정 41%,접어서 세워 보관할 수 있어 공간을 덜 차지한다는 후기가 많습니다.
SYN-SKINCARE-000087,skincare,가상브랜드_모아 SYN-SKINCARE-000087,299,0.074,4.43,4.2,자극성 긍정 89%,보습력 긍정 66%,향 부정 62%,펌프사용성 부정 50%,무향 표기인데 은은한 향이 난다는 의견이 있습니다.
SYN-MAT-000088,mat,가상브랜드_새봄 SYN-MAT-000088,302,0.061,4.21,4.04,층간소음저감 긍정 67%,청소편의성 긍정 65%,이음새마감 긍정 83%,냄새 부정 48%,이음새 사이로 이물질이 낀다는 지적이 있습니다.
SYN-GATE-000089,gate,가상브랜드_도담 SYN-GATE-000089,86,0.153,4.47,4.09,설치편의성 부정 59%,고정력 긍정 76%,내구성 긍정 83%,개폐편의성 부정 47%,한 손 개폐가 익숙해지기 전까지는 불편하다는 의견이 있습니다.
SYN-THERMOMETER-000090,thermometer,가상브랜드_도담 SYN-THERMOMETER-000090,214,0.154,4.17,3.81,측정정확도 긍정 63%,반응속도 긍정 86%,사용편의성 긍정 73%,배터리수명 부정 60%,1~2초 내로 빠르게 측정된다는 평이 많습니다.
SYN-STROLLER-000091,stroller,가상브랜드_새봄 SYN-STROLLER-000091,277,0.155,4.44,4.0,주행감 긍정 92%,폴딩편의성 긍정 90%,내구성 긍정 83%,통풍성 부정 48%,요철이 있는 길에서 진동이 그대로 전달된다는 지적이 있습니다.
SYN-CAR-SEAT-000092,car_seat,가상브랜드_모아 SYN-CAR_SEAT-000092,183,0.107,4.68,4.38,설치편의성 긍정 61%,안전벨트 긍정 80%,통풍성 부정 60%,인증관련 긍정 78%,여름에 등받이 쪽이 덥다는 지적이 반복됩니다.
SYN-CARRIER-000093,carrier,가상브랜드_모아 SYN-CARRIER-000093,279,0.196,4.3,3.94,착용감 긍정 87%,허리부담 부정 58%,통풍성 긍정 63%,탈부착편의성 부정 40%,메쉬 소재라 여름에도 덜 덥다는 후기가 많습니다.
SYN-CRIB-000094,crib,가상브랜드_모아 SYN-CRIB-000094,60,0.119,4.68,4.48,조립편의성 부정 56%,내구성 부정 45%,매트리스핏 긍정 71%,마감 부정 40%,동봉 매트리스 사이즈가 프레임에 딱 맞는다는 후기가 많습니다.
SYN-SLEEPWEAR-000095,sleepwear,가상브랜드_모아 SYN-SLEEPWEAR-000095,132,0.134,4.51,4.29,보온성 긍정 91%,세탁내구성 부정 44%,사이즈핏 긍정 74%,촉감 긍정 59%,여러 번 세탁하면 보풀이 생긴다는 지적이 있습니다.
SYN-BOTTLE-000096,bottle,가상브랜드_새봄 SYN-BOTTLE-000096,313,0.106,4.28,3.84,젖꼭지호환 부정 47%,세척편의성 부정 50%,누수 부정 62%,온도감지 부정 40%,온도감지 라벨이 정확하다는 평이 많습니다.
SYN-FORMULA-000097,formula,가상브랜드_도담 SYN-FORMULA-000097,108,0.157,4.36,3.95,용해성 긍정 72%,맛수용성 부정 59%,포장편의성 긍정 80%,가격대비량 부정 40%,이전 단계에서 바꾸니 처음엔 잘 안 먹었다는 후기가 있습니다.
SYN-HIGH-CHAIR-000098,high_chair,가상브랜드_모아 SYN-HIGH_CHAIR-000098,57,0.188,4.69,4.48,조립편의성 긍정 81%,청소편의성 긍정 77%,높이조절 부정 43%,안전벨트 긍정 75%,단계별 높이 조절 시 소음이 크다는 지적이 있습니다.
SYN-BABY-FOOD-000099,baby_food,가상브랜드_도담 SYN-BABY_FOOD-000099,24,0.174,4.19,3.99,맛수용성 긍정 91%,포장편의성 부정 56%,원재료 긍정 61%,농도 부정 54%,원산지·성분 표기가 상세해서 믿고 먹인다는 후기가 많습니다.
SYN-CUP-000100,cup,가상브랜드_모아 SYN-CUP-000100,298,0.18,4.35,3.94,누수 긍정 83%,세척편의성 긍정 59%,손잡이 긍정 78%,빨대내구성 부정 45%,가방에 넣고 다니면 조금씩 샌다는 후기가 있습니다.
SYN-BIB-000101,bib,가상브랜드_도담 SYN-BIB-000101,60,0.059,4.64,4.2,방수성 긍정 71%,세탁내구성 부정 41%,목둘레조절 긍정 83%,촉감 긍정 72%,단추 단수가 여러 개라 오래 쓸 수 있다는 평이 많습니다.
SYN-DIAPER-000102,diaper,가상브랜드_도담 SYN-DIAPER-000102,206,0.151,4.17,4.05,흡수력 긍정 66%,누기 부정 54%,피부트러블 긍정 78%,사이즈핏 긍정 72%,장시간 착용해도 발진이 덜하다는 평이 많습니다.
